Repositório,Estrelas,Data do Último Commit,AXE em Workflow,Pa11y em Workflow,Wave em Workflow,Asqata-sun em Workflow,HTML_CodeSniffer em Workflow,Equal Access em Workflow,AXE em Dependência,Pa11y em Dependência,Wave em Dependência,Asqata-sun em Dependência,HTML_CodeSniffer em Dependência,Equal Access em Dependência
grafana/grafana,69795,07/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
meteor/meteor,44683,05/09/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
gradio-app/gradio,39763,05/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
logseq/logseq,38443,07/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
gchq/CyberChef,32410,06/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
nextcloud/server,30706,08/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
oppia/oppia,6152,06/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
danpros/htmly,1244,18/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
italia/bootstrap-italia,330,05/08/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
SkyCryptWebsite/SkyCrypt,293,12/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
canonical/ubuntu.com,263,05/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
italia/developers.italia.it,235,30/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
appium/appium-espresso-driver,207,07/09/2025,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
axelarnetwork/axelar-examples,192,05/11/2024,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
GSA/digitalgov.gov,257,09/04/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
carpentries/amy,116,29/06/2025,Sim,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
GSA/code-gov-front-end,46,14/01/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
cisagov/get.gov,26,03/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
oaknational/Oak-Web-Application,24,05/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
usdoj-crt/crt-portal,18,29/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
GSA/notifications-admin,15,05/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
PublicisSapient/enable-a11y,12,22/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
ScottLogic/blog,11,04/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
aclu-national/email-builder,10,22/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
emma11y/tester-a11y,9,10/07/2025,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
pa11y/pa11y.github.io,8,24/10/2024,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
thibaudcolas/django_admin_tests,8,03/03/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
CMSgov/bcda-static-site,8,05/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
atbcb/usab-uswds,6,27/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
Enterprise-CMCS/macpro-mdct-mcr,6,05/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
Princeton-CDH/ppa-django,5,25/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
DFE-Digital/early-years-foundation-recovery,5,05/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
